 2) + 17.921 us   |    } /* run_rebalance_domains */
 2) + 10.555 us   |                                                    }
 2) + 11.618 us   |                                                  }
 2)   0.023 us    |                                                  _raw_spin_lock();
 2)               |                                                  __udp_queue_rcv_skb() {
 2)               |                                                    sock_queue_rcv_skb() {
 2)               |                                                      sk_filter() {
 2)   0.026 us    |                                                        security_sock_rcv_skb();
 2)   0.243 us    |                                                      }
 2)   0.026 us    |                                                      _raw_spin_lock_irqsave();
 2)   0.031 us    |                                                      _raw_spin_unlock_irqrestore();
 2)               |                                                      sock_def_readable() {
 2)               |                                                        __wake_up_sync_key() {
 2)   0.024 us    |                                                          _raw_spin_lock_irqsave();
 2)               |                                                          __wake_up_common() {
 2)               |                                                            pollwake() {
 2)               |                                                              default_wake_function() {
 2)               |                                                                try_to_wake_up() {
 2)   0.195 us    |                                                                  _raw_spin_lock_irqsave();
 2)   0.295 us    |                                                                  task_waking_fair();
 2)               |                                                                  select_task_rq_fair() {
 2)   0.028 us    |                                                                    source_load();
 2)   0.023 us    |                                                                    target_load();
 2)   0.032 us    |                                                                    effective_load.isra.43();
 2)   0.024 us    |                                                                    effective_load.isra.43();
 2)               |                                                                    select_idle_sibling() {
 2)   0.101 us    |                                                                      idle_cpu();
 2)   0.040 us    |                                                                      cpus_share_cache();
 2)   0.048 us    |                                                                      idle_cpu();
 2)   0.873 us    |                                                                    }
 2)   2.225 us    |                                                                  }
 2)   0.023 us    |                                                                  _raw_spin_lock();
 2)               |                                                                  ttwu_do_activate.constprop.91() {
 2)               |                                                                    activate_task() {
 2)   0.037 us    |                                                                      update_rq_clock.part.81();
 2)               |                                                                      enqueue_task_fair() {
 2)               |                                                                        enqueue_entity() {
 2)   0.099 us    |                                                                          update_curr();
 2)   0.033 us    |                                                                          __compute_runnable_contrib();
 2)   0.024 us    |                                                                          __compute_runnable_contrib();
 2)   0.100 us    |                                                                          account_entity_enqueue();
 2)   0.357 us    |                                                                          update_cfs_shares();
 2)   0.026 us    |                                                                          place_entity();
 2)   0.027 us    |                                                                          __enqueue_entity();
 2)   2.437 us    |                                                                        }
 2)               |                                                                        enqueue_entity() {
 2)   0.030 us    |                                                                          update_curr();
 2)   0.025 us    |                                                                          __compute_runnable_contrib();
 2)   0.034 us    |                                                                          account_entity_enqueue();
 2)   0.047 us    |                                                                          update_cfs_shares();
 2)   0.085 us    |                                                                          place_entity();
 2)   0.024 us    |                                                                          __enqueue_entity();
 2)   1.517 us    |                                                                        }
 2)   0.023 us    |                                                                        hrtick_update();
 2)   4.647 us    |                                                                      }
 2)   5.146 us    |                                                                    }
 2)               |                                                                    ttwu_do_wakeup() {
 2)               |                                                                      check_preempt_curr() {
 2)   0.061 us    |                                                                        resched_curr();
 2)   0.272 us    |                                                                      }
 2)   0.495 us    |                                                                    }
 2)   6.063 us    |                                                                  }
 2)   0.097 us    |                                                                  ttwu_stat();
 2)   0.032 us    |                                                                  _raw_spin_unlock_irqrestore();
 2) + 10.700 us   |                                                                }
 2) + 10.904 us   |                                                              }
 2) + 11.188 us   |                                                            }
 2) + 11.499 us   |                                                          }
 2)   0.031 us    |                                                          _raw_spin_unlock_irqrestore();
 2) + 12.153 us   |                                                        }
 2) + 12.516 us   |                                                      }
 2) + 13.709 us   |                                                    }
 2) + 13.919 us   |                                                  }
 2) + 26.248 us   |                                                }
 2) + 48.422 us   |                                              }
 2) + 49.724 us   |                                            }
 2) + 50.275 us   |                                          }
 2) + 50.604 us   |                                        }
 2) + 51.572 us   |                                      }
 2) + 57.210 us   |                                    }
 2) + 64.852 us   |                                  }
 2) + 77.426 us   |                                }
 2) + 77.911 us   |                              }
 2) + 78.134 us   |                            }
 2) + 78.359 us   |                          }
 2) + 78.573 us   |                        }
 2) ! 114.456 us  |                      }
 2) ! 118.343 us  |                    }
 2) ! 122.080 us  |                  }
 2) ! 122.374 us  |                }
 2) ! 122.913 us  |              }
 2) ! 125.564 us  |            }
 2) ! 126.371 us  |          }
 2)               |          e1000_alloc_rx_buffers [e1000e]() {
 2)   0.148 us    |            skb_trim();
 2)   0.895 us    |          }
 2) ! 139.442 us  |        }
 2)   0.122 us    |        napi_complete_done();
 2)   6.459 us    |        e1000_irq_enable [e1000e]();
 2) ! 148.014 us  |      }
 2) ! 148.561 us  |    }
 2)   0.127 us    |    rcu_bh_qs();
 2)   0.027 us    |    __local_bh_enable();
 2) ! 149.861 us  |  }
 2)               |  __do_softirq() {
 2)               |    run_timer_softirq() {
 2)   0.049 us    |      _raw_spin_lock_irq();
 2)               |      call_timer_fn() {
 2)               |        intel_pstate_timer_func() {
 2)   0.044 us    |          ktime_get();
 2)               |          intel_pstate_set_pstate() {
 2)               |            core_set_pstate() {
 2)               |              wrmsrl_on_cpu() {
 2)               |                smp_call_function_single() {
 2)               |                  generic_exec_single() {
 2)   0.032 us    |                    csd_unlock();
 2)   0.668 us    |                    __wrmsr_on_cpu();
 2)   1.319 us    |                  }
 2)   1.658 us    |                }
 2)   1.959 us    |              }
 2)   2.250 us    |            }
 2)   2.848 us    |          }
 2)   0.030 us    |          __msecs_to_jiffies();
 2)               |          mod_timer_pinned() {
 2)               |            lock_timer_base.isra.34() {
 2)   0.027 us    |              _raw_spin_lock_irqsave();
 2)   0.251 us    |            }
 2)   0.034 us    |            detach_if_pending();
 2)               |            internal_add_timer() {
 2)   0.036 us    |              __internal_add_timer();
 2)   0.276 us    |            }
 2)   0.034 us    |            _raw_spin_unlock_irqrestore();
 2)   1.438 us    |          }
 2)   5.616 us    |        }
 2)   5.892 us    |      }
 2)   0.029 us    |      _raw_spin_lock_irq();
 2)   7.010 us    |    }
 2)               |    run_rebalance_domains() {
 2)               |      rebalance_domains() {
 2)               |        update_blocked_averages() {
 2)   0.025 us    |          _raw_spin_lock_irqsave();
 2)               |          update_rq_clock() {
 2)   0.035 us    |            update_rq_clock.part.81();
 2)   0.261 us    |          }
 2)   0.030 us    |          __compute_runnable_contrib();
 2)   0.024 us    |          __compute_runnable_contrib();
 2)   0.026 us    |          __compute_runnable_contrib();
 2)   0.023 us    |          __compute_runnable_contrib();
 2)   0.026 us    |          __compute_runnable_contrib();
